Modulo,Tipo,Nome API,Tipo Ritorno,Parametri,Descrizione e Dettagli
Dress,Metodo,ChangeList,Void,dresslist: Nome della lista di vestiario.,Cambia la lista di equipaggiamento attiva.
Dress,Metodo,DressFStart,Void,N/A,Avvia il processo di vestizione.
Dress,Metodo,DressFStop,Void,N/A,Ferma il processo di vestizione.
Dress,Metodo,DressStatus,Boolean,N/A,Verifica lo stato dell'agente Dress.
Dress,Metodo,UnDressFStart,Void,N/A,Avvia il processo di rimozione dell'equipaggiamento.
Dress,Metodo,UnDressFStop,Void,N/A,Ferma il processo di rimozione.
Dress,Metodo,UnDressStatus,Boolean,N/A,Verifica lo stato dell'agente UnDress.
Restock,Metodo,ChangeList,Void,listName: Nome della lista.,Cambia la lista di rifornimento attiva.
Restock,Metodo,FStart,Void,N/A,Avvia l'agente Restock.
Restock,Metodo,FStop,Void,N/A,Ferma l'agente Restock.
Restock,Metodo,RunOnce,Void,"restockerName, sourceBag [Int32], destBag [Int32], dragDelay [Int32]",Esegue un ciclo di rifornimento singolo con parametri specificati.
Restock,Metodo,Status,Boolean,N/A,Verifica lo stato dell'agente Restock.
Scavenger,Metodo,ChangeList,Void,listName: Nome della lista.,Cambia la lista dello Scavenger.
Scavenger,Metodo,GetScavengerBag,UInt32,N/A,Ottiene il seriale del contenitore di destinazione.2
Scavenger,Metodo,ResetIgnore,Void,N/A,Resetta la lista degli oggetti ignorati in memoria.
Scavenger,Metodo,RunOnce,Void,"scavengerList [List], millisec [Int32], filter [Items.Filter]",Esegue lo Scavenger una singola volta con un filtro custom.
Scavenger,Metodo,Start,Void,N/A,Avvia l'agente in background.
Scavenger,Metodo,Status,Boolean,N/A,Verifica lo stato dell'agente.
Scavenger,Metodo,Stop,Void,N/A,Ferma l'agente.
SellAgent,Metodo,ChangeList,Void,listName: Nome della lista.,Cambia la lista di vendita attiva.
SellAgent,Metodo,Disable,Void,N/A,Disabilita la vendita automatica.
SellAgent,Metodo,Enable,Void,N/A,Abilita la vendita automatica ai vendor NPC.
SellAgent,Metodo,Status,Boolean,N/A,Verifica lo stato del SellAgent.
Organizer,Metodo,ChangeList,Void,listName: Nome della lista.,Cambia la configurazione attiva dell'Organizer.
Organizer,Metodo,FStart,Void,N/A,Avvia il riordino degli oggetti.
Organizer,Metodo,FStop,Void,N/A,Interrompe il riordino.
Organizer,Metodo,RunOnce,Void,"organizerName, sourceBag [Int32], destBag [Int32], dragDelay [Int32]",Esegue l'organizzatore una sola volta.
Organizer,Metodo,Status,Boolean,N/A,Ritorna True se l'Organizer è in azione.
Items.Filter,Proprietà,CheckIgnoreObject,Boolean,N/A,Esclude gli oggetti presenti nella lista globale ignorati (default: False).
Items.Filter,Proprietà,Enabled,Boolean,N/A,Attiva o disattiva l'applicazione del filtro (default: True).
Items.Filter,Proprietà,Graphics,List[Int32],N/A,Limita la ricerca a una lista di Graphic ID (ItemID). Supporta Add() e AddRange().
Items.Filter,Proprietà,Hues,List[Int32],N/A,Limita la ricerca a una lista di colori specifici.2
Items.Filter,Proprietà,IsContainer,Int32,N/A,Filtra solo gli oggetti che agiscono da contenitori (-1 per ignorare).
Items.Filter,Proprietà,IsCorpse,Int32,N/A,Filtra esclusivamente i cadaveri presenti sul suolo.
Items.Filter,Proprietà,IsDoor,Int32,N/A,Filtra gli oggetti classificati strutturalmente come porte.
Items.Filter,Proprietà,Layers,List,N/A,Limita la ricerca agli oggetti equipaggiati su specifici layer anatomici (es. RightHand).
Items.Filter,Proprietà,Movable,Int32,N/A,Filtra gli oggetti in base al flag di mobilità imposto dal server.2
Items.Filter,Proprietà,Multi,Int32,N/A,Limita la ricerca agli oggetti complessi (Multi) come case o navi.
Items.Filter,Proprietà,Name,String,N/A,Esegue il matching sul nome testuale dell'oggetto.
Items.Filter,Proprietà,OnGround,Int32,N/A,"Filtra solo gli oggetti non contenuti in inventari, liberi sulla mappa."
Items.Filter,Proprietà,RangeMax,Double,N/A,Distanza radiale massima in tile rispetto alla posizione del giocatore.
Items.Filter,Proprietà,RangeMin,Double,N/A,Distanza radiale minima rispetto al giocatore.2
Items.Filter,Proprietà,Serials,List[Int32],N/A,Restringe la ricerca a un pool esatto di identificatori seriali.
Items.Filter,Proprietà,ZRangeMax,Double,N/A,Limite superiore della coordinata Z per il filtraggio tridimensionale.
Items.Filter,Proprietà,ZRangeMin,Double,N/A,Limite inferiore della coordinata Z.2
Items,Metodo,ApplyFilter,List[Item],filter [Items.Filter],Risolve il filtro interrogando la memoria e restituisce le istanze conformi.
Items,Metodo,BackpackCount,Int32,"itemid [Int32], color [Int32]",Calcola la somma delle quantità di uno specifico oggetto nello zaino.
Items,Metodo,ChangeDyeingTubColor,Void,"dyes [Item], dyeingTub [Item], color [Int32]",Invia il pacchetto per alterare il colore di una vasca di tintura.2
Items,Metodo,Close,Void,serial [Item/Int32],Chiude l'interfaccia grafica di un contenitore o cadavere aperto.
Items,Metodo,ContainerCount,Int32,"container [Item/Int32], itemid [Int32], color [Int32], recursive",Conta ricorsivamente gli oggetti all'interno di un contenitore radice.
Items,Metodo,ContextExist,Int32,"serial [Item/Int32], name",Interroga l'esistenza di un'opzione nel menu contestuale dell'oggetto.
Items,Metodo,DropFromHand,Void,"item [Item], container [Item]",Rilascia un oggetto sollevato virtualmente nel cursore in un contenitore.
Items,Metodo,DropItemGroundSelf,Void,"item [Item/Int32], amount [Int32], direction [Int32]",Sposta un oggetto dall'inventario al suolo ai piedi del giocatore.2
Items,Metodo,FindAllByID,List[Item],"itemids [List/Int32], color [Int32], container [Int32], range [Int32], considerIgnoreList",Esegue una ricerca profonda restituendo tutte le occorrenze di un ID.
Items,Metodo,FindByID,Item,"itemid [List/Int32], color [Int32], container [Int32], recursive, considerIgnoreList",Restituisce la singola istanza trovata corrispondente ai parametri base.
Items,Metodo,FindByName,Item,"itemName, color [Int32], container [Int32], range [Int32], considerIgnoreList",Ricerca rapida basata sul parsing della stringa del nome.2
Items,Metodo,FindBySerial,Item,serial [Int32],Istanzia un oggetto partendo dal suo seriale di rete.
Items,Metodo,GetImage,Bitmap,"itemID [Int32], hue [Int32]",Estrae e applica la tonalità alla risorsa grafica nativa del client.
Items,Metodo,GetPropStringByIndex,String,"serial [Item/Int32], index [Int32]",Estrae una riga specifica dal tooltip formattato dell'oggetto.
Items,Metodo,GetPropStringList,List,serial [Item/Int32],Restituisce l'intero array delle stringhe di proprietà.
Items,Metodo,GetPropValue,Single,"serial [Item/Int32], name",Parsa il valore float numerico associato a una proprietà testuale.
Items,Metodo,GetPropValueString,String,"serial [Int32], name",Ricerca e restituisce il valore testuale grezzo di una proprietà.2
Items,Metodo,GetProperties,List[Property],"itemserial [Int32], delay [Int32]",Forza la richiesta al server dei tooltip aggiornati se non in cache.2
Items,Metodo,GetWeaponAbility,Tuple,itemId [Int32],Consulta la tabella interna per restituire le mosse speciali dell'arma.
Items,Metodo,Hide,Void,serial [Item/Int32],Altera il rendering locale rendendo l'oggetto invisibile al client.
Items,Metodo,IgnoreTypes,Void,itemIdList [PythonList],Previene la processazione visiva e logica di determinati Graphic ID.2
Items,Metodo,Lift,Void,"item [Item], amount [Int32]",Crea l'evento di trascinamento logico associando l'oggetto al cursore.
Items,Metodo,Message,Void,"item [Item/Int32], hue [Int32], message","Sovrappone testo fluttuante all'oggetto, visibile solo localmente."
Items,Metodo,Move,Void,"source [Item/Int32], destination [Item/Mobile/Int32], amount [Int32], x [Int32], y [Int32]",Genera il pacchetto di spostamento completo verso inventari o mob.
Items,Metodo,MoveOnGround,Void,"source [Item/Int32], amount [Int32], x [Int32], y [Int32], z [Int32]",Sposta l'oggetto in specifiche coordinate spaziali XYZ tridimensionali.2
Items,Metodo,OpenAt,Void,"serial [Item/Int32], x [Int32], y [Int32]",Forza l'apertura grafica in coordinate assolute di schermo.
Items,Metodo,OpenContainerAt,Void,"bag [Item], x [Int32], y [Int32]",Apre l'inventario in coordinate specifiche per favorire macro grafiche.
Items,Metodo,Select,Item,"items [List[Item]], selector",Filtra ulteriormente una lista preesistente tramite selettore testuale.
Items,Metodo,SetColor,Void,"serial [Int32], color [Int32]",Modifica la tonalità dell'oggetto nella memoria del client.
Items,Metodo,SingleClick,Void,item [Item/Int32],Invia l'evento click richiedendo al server di trasmettere il nome aggiornato.2
Items,Metodo,UseItem,Void,"itemSerial [Item/Int32], targetSerial [Int32], wait",Usa l'oggetto ed esegue automaticamente l'auto-target verso un seriale.
Items,Metodo,UseItemByID,Boolean,"itemid [Int32], color [Int32]",Risolve il primo oggetto corrispondente all'ID e ne simula l'utilizzo.
Items,Metodo,WaitForContents,Boolean,"bag [Item/Int32], delay [Int32]",Innesca l'apertura e blocca il thread attendendo il caricamento degli oggetti figli.
Items,Metodo,WaitForProps,Void,"itemserial [Item/Int32], delay [Int32]",Attende il completamento della sincronizzazione cliloc delle proprietà.2
Item,Proprietà,Amount,Int32,N/A,Quantità numerica impilata nello stack dell'oggetto.
Item,Proprietà,Color,UInt16,N/A,Valore cromatico esatto.
Item,Proprietà,Container,Int32,N/A,Seriale del contenitore padre diretto dell'istanza.
Item,Proprietà,ContainerOpened,Boolean,N/A,Stato di inizializzazione dell'inventario interno.2
Item,Proprietà,Contains,List[Item],N/A,Riferimenti agli oggetti figli istanziati gerarchicamente.
Item,Proprietà,CorpseNumberItems,Int32,N/A,Numero di oggetti totali se la struttura è un cadavere (-1 se non aggiornato).
Item,Proprietà,Deleted,Boolean,N/A,Stato di rimozione dell'oggetto dalla memoria lato server.
Item,Proprietà,Direction,String,N/A,Orientamento vettoriale dell'oggetto.
Item,Proprietà,Durability,Int32,N/A,Punti durabilità residui estratti dalle proprietà.
Item,Proprietà,Graphics,UInt16,N/A,Identificativo del rendering (equivalente a ItemID).2
Item,Proprietà,GridNum,Byte,N/A,Locazione posizionale specifica se all'interno di una griglia di inventario.
Item,Proprietà,Hue,UInt16,N/A,Alias per l'attributo cromatico.
Item,Proprietà,Image,Bitmap,N/A,Struttura Bitmap generata tramite rendering off-screen.
Item,Proprietà,IsBagOfSending,Boolean,N/A,Riconoscimento speciale dell'oggetto legato a meccaniche di trasporto banca.
Item,Proprietà,IsContainer,Boolean,N/A,Rileva se la tipologia dell'oggetto supporta l'inserimento di figli.
Item,Proprietà,IsCorpse,Boolean,N/A,Rileva la natura organica o strutturale di un cadavere esplorabile.
Item,Proprietà,IsDoor,Boolean,N/A,Determina l'appartenenza alle logiche di apertura e collisione delle porte.
Item,Proprietà,IsInBank,Boolean,N/A,Naviga la gerarchia per stabilire se il root container è la banca del giocatore.
Item,Proprietà,IsLootable,Boolean,N/A,Distingue tra oggetti recuperabili e decorazioni anatomiche dei cadaveri.
Item,Proprietà,IsPotion,Boolean,N/A,Classifica l'oggetto per le routine di automazione della cura e dei buff.
Item,Proprietà,IsResource,Boolean,N/A,"Raggruppa materiali grezzi da artigianato (legno, minerali, pelli).2"
Item,Proprietà,IsSearchable,Boolean,N/A,Segnala la possibilità di ispezionare il contenuto senza aprirlo fisicamente.
Item,Proprietà,IsTwoHanded,Boolean,N/A,Parametro critico per le routine di disarmo e cast di incantesimi.
Item,Proprietà,IsVirtueShield,Boolean,N/A,Classifica un artefatto specifico per le routine di equipaggiamento.
Item,Proprietà,ItemID,Int32,N/A,Valore univoco per la definizione della tipologia dell'oggetto.
Item,Proprietà,Layer,String,N/A,"Definizione anatomica di equipaggiamento (es. testa, braccia)."
Item,Proprietà,Light,Byte,N/A,Parametro di illuminazione locale applicato al motore grafico.2
Item,Proprietà,MaxDurability,Int32,N/A,Valore massimo teorico dei punti struttura per la gestione delle riparazioni.
Item,Proprietà,Movable,Boolean,N/A,Riflette il flag del server che previene lo spostamento (oggetti fissi).
Item,Proprietà,Name,String,N/A,"Stringa cache del nome, dipendente dai pacchetti cliloc."
Item,Proprietà,OnGround,Boolean,N/A,"Indica l'assenza di parent container, confermando la posizione sulla mappa."
Item,Proprietà,Position,Point3D,N/A,Struttura tridimensionale geometrica dell'istanza.
Item,Proprietà,Properties,List[Property],N/A,Vettore contenente tutte le righe dei tooltip parificate in stringhe e interi.
Item,Proprietà,PropsUpdated,Boolean,N/A,Assicura che la richiesta di proprietà asincrona sia andata a buon fine.
Item,Proprietà,RootContainer,Int32,N/A,Esegue il traversing dell'albero gerarchico fino a trovare il proprietario finale.
Item,Proprietà,Serial,Int32,N/A,Chiave di rete univoca globale per transazioni con il server.2
Item,Proprietà,Updated,Boolean,N/A,Segnala il completamento dell'inizializzazione primaria dell'oggetto.
Item,Proprietà,Visible,Boolean,N/A,"Stato di visibilità locale, influenzabile tramite script."
Item,Proprietà,Weight,Int32,N/A,"Contribuzione gravitazionale dell'oggetto, necessaria per controlli di capienza."
Item,Metodo,DistanceTo,Int32,mob [Item/Mobile],Funzione pitagorica per la misurazione della distanza in tile bidimensionali.
Item,Metodo,GetWorldPosition,Point3D,N/A,Risolve le coordinate globali estraendole dai contenitori padre se necessario.
Item,Metodo,IsChildOf,Boolean,"container [Mobile/Item], maxDepth [Int32]",Determina l'inclusione logica controllando i rami dell'albero gerarchico.2
Mobiles.Filter,Proprietà,Blessed,Int32,N/A,Rileva lo stato di invulnerabilità conferito dal server.
Mobiles.Filter,Proprietà,Bodies,List[Int32],N/A,Limita ai Graphic ID specifici del corpo (es. demoni o umani).
Mobiles.Filter,Proprietà,CheckIgnoreObject,Boolean,N/A,Elimina i seriali inseriti in blacklist.2
Mobiles.Filter,Proprietà,CheckLineOfSight,Boolean,N/A,Interroga l'engine geometrico per confermare assenza di ostacoli visivi.
Mobiles.Filter,Proprietà,Enabled,Boolean,N/A,Toggle per l'applicazione del filtro sulle routine globali.
Mobiles.Filter,Proprietà,Female,Int32,N/A,Parametro anatomico specifico del body.
Mobiles.Filter,Proprietà,Friend,Int32,N/A,Include esclusivamente entità presenti nella trust-list locale.
Mobiles.Filter,Proprietà,Graphics,List[Int32],N/A,Alias funzionale per i Bodies ID.2
Mobiles.Filter,Proprietà,Hues,List[Int32],N/A,Utile per identificare campioni generati cromaticamente diversi dalla base.
Mobiles.Filter,Proprietà,IgnorePets,Boolean,N/A,Toglie le evocazioni proprie o altrui dal pool di target ostili.
Mobiles.Filter,Proprietà,IsGhost,Int32,N/A,Identifica i body ID corrispondenti agli stati di morte per resuscitare alleati.
Mobiles.Filter,Proprietà,IsHuman,Int32,N/A,Limita alle classi di rendering umanoidi.
Mobiles.Filter,Proprietà,Name,String,N/A,Matching testuale per la ricerca rapida di NPC nominati.
Mobiles.Filter,Proprietà,Notorieties,List,N/A,Sistema di classificazione essenziale (1-7) delle regole di ingaggio.2
Mobiles.Filter,Proprietà,Paralized,Int32,N/A,Individua entità che subiscono effetti restrittivi sul movimento.
Mobiles.Filter,Proprietà,Poisoned,Int32,N/A,Rileva lo stato di tossicità analizzando l'header cromatico della salute.
Mobiles.Filter,Proprietà,RangeMax,Double,N/A,Raggio massimo geometrico in cui considerare valide le entità.
Mobiles.Filter,Proprietà,RangeMin,Double,N/A,"Offset minimo di distanza, utile per ignorare nemici adiacenti (melee range).2"
Mobiles.Filter,Proprietà,Serials,List[Int32],N/A,Hardcoding di identificatori di rete specifici.
Mobiles.Filter,Proprietà,Warmode,Int32,N/A,Discrimina entità in postura pacifica da quelle in stato di allerta o combattimento.
Mobiles.Filter,Proprietà,ZLevelMax,Double,N/A,Taglio superiore delle coordinate verticali per la spazializzazione tridimensionale.
Mobiles.Filter,Proprietà,ZLevelMin,Double,N/A,Taglio inferiore delle coordinate Z.2
Mobiles,Metodo,ApplyFilter,List[Mobile],filter [Mobiles.Filter],Genera il set risolto di entità in un istante temporale preciso.
Mobiles,Metodo,ContextExist,Int32,"mob [Mobile/Int32], name, showContext",Richiede ed esamina asincronamente i nodi del menu contestuale.
Mobiles,Metodo,FindBySerial,Mobile,serial [Int32],Interroga direttamente l'hash table locale per recuperare l'istanza univoca.2
Mobiles,Metodo,FindMobile,Mobile,"graphic, notoriety, rangemax, selector, highlight",Metodo rapido e non allocativo per la generazione rapida di target.
Mobiles,Metodo,GetPropStringByIndex,String,"serial [Mobile/Int32], index [Int32]",Naviga l'array di stringhe inviato tramite cliloc tooltip per l'entità.
Mobiles,Metodo,GetPropStringList,List,serial [Mobile/Int32],Restituisce il dump totale dei metadati descrittivi del target.
Mobiles,Metodo,GetPropValue,Single,"serial [Mobile/Int32], name",Traduce le label testuali in valori float per valutazioni logiche.
Mobiles,Metodo,GetTargetingFilter,Mobiles.Filter,target_name,Richiama dalla GUI un oggetto filtro complesso precostituito dall'utente.2
Mobiles,Metodo,GetTrackingInfo,Mobiles.TrackingInfo,N/A,Estrae i dati inviati dalla skill Tracking decodificando i pacchetti radar di direzione.
Mobiles,Metodo,Message,Void,"mobile, hue, message, wait",Genera un messaggio testuale fluttuante ancorato all'offset grafico dell'entità.
Mobiles,Metodo,Select,Mobile,"mobiles [List[Mobile]], selector",Processa un subset limitato applicando un filtro nominativo aggiuntivo.
Mobiles,Metodo,SingleClick,Void,mobile [Mobile/Int32],Forza l'aggiornamento dello stato base instradando il pacchetto di ispezione primario.2
Mobiles,Metodo,UseMobile,Void,mobile [Mobile/Int32],"Causa l'interazione diretta (apertura vendor, attacco base su freeshard, montaggio destriero)."
Mobiles,Metodo,WaitForProps,Boolean,"m [Mobile/Int32], delay [Int32]",Congela l'esecuzione in attesa dell'arrivo del pacchetto properties per il seriale indicato.
Mobiles,Metodo,WaitForStats,Boolean,"m [Mobile/Int32], delay [Int32]",Sospende il thread fintanto che l'aggiornamento strutturale (salute/mana) non viene confermato.2
Mobile,Proprietà,Backpack,Item,N/A,Collegamento relazionale all'oggetto contenitore associato all'entità.
Mobile,Proprietà,CanRename,Boolean,N/A,Determina se il protocollo concede il privilegio di modifica del nome (es. familiar o pet).
Mobile,Proprietà,Color,UInt16,N/A,Valore della pigmentazione base del body.
Mobile,Proprietà,Contains,List[Item],N/A,"Risolve tutti i nodi figlio, rappresentando l'equipaggiamento indossato (Paperdoll)."
Mobile,Proprietà,Deleted,Boolean,N/A,Verifica se il server ha comunicato l'annullamento dell'esistenza in memoria.2
Mobile,Proprietà,Direction,String,N/A,Codifica la direttrice del movimento spaziale in 8 angolazioni canoniche.
Mobile,Proprietà,Fame,Int32,N/A,Stima euristica dedotta dal titolo nobiliare comunicato in broadcast.
Mobile,Proprietà,Female,Boolean,N/A,"Segnala la variabile sessuale del body, utile per compatibilità di equipaggiamento."
Mobile,Proprietà,Flying,Boolean,N/A,Parametro di mobilità avanzata legato al bypass di ostacoli geologici.
Mobile,Proprietà,Graphics,UInt16,N/A,ID di rendering del modello poligonale o 2D (MobileID).
Mobile,Proprietà,Hits,Int32,N/A,Parametro vitale corrente. Per entità non alleate spesso è espresso come percentuale.
Mobile,Proprietà,HitsMax,Int32,N/A,Calibratore per convertire la proporzione della salute in valori assoluti se conosciuto.2
Mobile,Proprietà,Hue,UInt16,N/A,Proprietà omologa al Color.
Mobile,Proprietà,InParty,Boolean,N/A,Riconoscimento immediato per evitare fuoco amico su membri alleati condivisi.
Mobile,Proprietà,IsGhost,Boolean,N/A,Convalida l'appartenenza allo stato di morte tramite ispezione dell'ID grafico.
Mobile,Proprietà,IsHuman,Boolean,N/A,"Valutazione booleana su bodyID compatibili con la vestizione umana (183, 400, ecc.)."
Mobile,Proprietà,ItemID,Int32,N/A,Parametro tecnico per retro-compatibilità d'ispezione.
Mobile,Proprietà,Karma,Int32,N/A,"Variabile etica stimata dal nome (-5 malvagio, +5 virtuoso)."
Mobile,Proprietà,KarmaTitle,String,N/A,Conserva il prefisso/suffisso originale ricevuto senza elaborazioni.2
Mobile,Proprietà,Mana,Int32,N/A,Carica magica corrente (risoluzione dipende dai privilegi di rete).
Mobile,Proprietà,ManaMax,Int32,N/A,Soglia limite del mana associato all'entità.
Mobile,Proprietà,Map,Int32,N/A,ID identificativo del dominio territoriale (facet) in cui avviene il tracciamento.
Mobile,Proprietà,MobileID,Int32,N/A,ID base del template di creazione del mostro o giocatore.
Mobile,Proprietà,Mount,Item,N/A,Riferimento incrociato per isolare il seriale dell'oggetto destriero interattivo.2
Mobile,Proprietà,Name,String,N/A,"Valore base del nome, scisso da guild title e lord prefix."
Mobile,Proprietà,Notoriety,Int32,N/A,Indice cardine (1-7) per definire l'ostilità logica riconosciuta dal client di base.
Mobile,Proprietà,Paralized,Boolean,N/A,Segnala la presenza di freeze dettato dal server (stordimenti o spell).
Mobile,Proprietà,Poisoned,Boolean,N/A,Flag derivato dallo stato dell'interfaccia vitale (barra verde/arancione).
Mobile,Proprietà,Position,Point3D,N/A,Oggetto complesso per la rappresentazione geometrica posizionale corrente.2
Mobile,Proprietà,Properties,List[Property],N/A,Analisi testuale completa strutturata per righe e valori derivati.
Mobile,Proprietà,PropsUpdated,Boolean,N/A,Verifica l'allineamento della cache con i pacchetti più recenti.
Mobile,Proprietà,Quiver,Item,N/A,Individua il nodo inventario dedicato ai proiettili equipaggiato sull'entità.
Mobile,Proprietà,Serial,Int32,N/A,Chiave di volta per qualsiasi iterazione sicura tra script e memoria.2
Mobile,Proprietà,Stam,Int32,N/A,Resistenza allo sforzo e frequenza di attacco attuale.
Mobile,Proprietà,StamMax,Int32,N/A,Pool massimo di stamina.
Mobile,Proprietà,Visible,Boolean,N/A,"Conferma l'esistenza nello spettro visibile, contrastando stealth o invisibility."
Mobile,Proprietà,WarMode,Boolean,N/A,"Riflette la posa da combattimento, che modifica collisioni e interazioni di push.2"
Mobile,Proprietà,YellowHits,Boolean,N/A,Rileva alterazioni della barra HP indicative di debuff che prevengono le cure (Mortal Strike).
Mobile,Metodo,DistanceTo,Int32,other_mobile [Mobile],Esegue il calcolo Euclideo ridotto tra il vettore corrente e l'entità bersaglio.
Mobile,Metodo,Equals,Boolean,obj [Object/UOEntity],Compara i riferimenti di base a livello C# per identificare duplicati.2
Mobile,Metodo,GetItemOnLayer,Item,layer,Restituisce il puntatore all'oggetto equipaggiato in uno slot definito.
Mobile,Metodo,UpdateKarma,Boolean,N/A,Forza il ricalcolo e aggiornamento dei titoli etici bloccando l'esecuzione asincrona per attendere il responso.2
Mobiles.TrackingInfo,Proprietà,lastUpdate,DateTime,N/A,Marca temporale nativa dell'ultima ricezione del radar spaziale.
Mobiles.TrackingInfo,Proprietà,serial,UInt32,N/A,Identificativo del bersaglio rilevato fuori dallo schermo.
Mobiles.TrackingInfo,Proprietà,x,UInt16,N/A,Coordinata X cruda stimata dalla skill.
Mobiles.TrackingInfo,Proprietà,y,UInt16,N/A,Coordinata Y cruda.2
Player,Proprietà,AR,Int32,N/A,Misurazione della classificazione armatura fisica cumulativa.2
Player,Proprietà,Backpack,Item,N/A,Nodo radicale per le operazioni di loot e inventario personale.
Player,Proprietà,Bank,Item,N/A,Riferimento sicuro all'istanza della cassa forte gestita dal server.
Player,Proprietà,Body,Int32,N/A,"Forma attuale, riflettendo incantesimi di polimorfismo o forme necromantiche."
Player,Proprietà,Buffs,List,N/A,"Vettore testuale in tempo reale di tutte le aure, malus e alterazioni logiche.2"
Player,Proprietà,BuffsInfo,List,N/A,Dettaglio tecnico strutturato per ciascun buff inclusa la durata rimanente scalata in C#.
Player,Proprietà,ColdResistance,Int32,N/A,Ammontare mitigativo grezzo contro il danno da freddo.
Player,Proprietà,Connected,Boolean,N/A,Stato di integrità del flusso socket tra client e game server.2
Player,Proprietà,Corpses,HashSet[Item],N/A,Lista delle posizioni dei precedenti decessi del giocatore per rapido recupero.
Player,Proprietà,DamageChanceIncrease,Int32,N/A,Incremento percentuale DCI calcolato sull'equipaggiamento indossato.
Player,Proprietà,DefenseChanceIncrease,Int32,N/A,Modificatore difensivo HCI totale.
Player,Proprietà,Dex,Int32,N/A,Valore destrezza nominale.
Player,Proprietà,DexterityIncrease,Int32,N/A,Somma totale dei bonus destrezza conferiti da anelli e artefatti.
Player,Proprietà,Direction,String,N/A,"Testo codificante la direzione frontale dell'avatar (North, South, ecc.)."
Player,Proprietà,EnergyResistance,Int32,N/A,Tolleranza assoluta al danno energetico o magnetico.
Player,Proprietà,EnhancePotions,Int32,N/A,Modificatore percentuale per il fattore di moltiplicazione delle cure chimiche.
Player,Proprietà,Fame,Int32,N/A,Reputazione sociale dedotta da meccaniche di kill NPC.2
Player,Proprietà,FasterCastRecovery,Int32,N/A,"Tempi morti azzerati tra un cast e l'altro, metriche aggregate."
Player,Proprietà,FasterCasting,Int32,N/A,Velocizzazione del ciclo d'animazione magico primario.
Player,Proprietà,Female,Boolean,N/A,Definizione anatomica intrinseca del template iniziale.
Player,Proprietà,FireResistance,Int32,N/A,Mitigazione elementale al danno da fuoco.2
Player,Proprietà,Followers,Int32,N/A,Slots biologici correntemente occupati dai pet evocati o addomesticati.
Player,Proprietà,FollowersMax,Int32,N/A,Limite assoluto (generalmente 5) di bestie gestibili simultaneamente.
Player,Proprietà,Gold,Int32,N/A,Computo ricorsivo di tutte le monete contenute nel nodo Backpack.
